# Plan de Cuentas Global — TADOR
# ==============================
# Edita este archivo para modificar el catálogo de cuentas que se siembra en la DB.
# El seed script (backend/prisma/seed/catalogos.ts) lee este archivo.
#
# Columnas:
#   codigo       — Código contable único. Primer dígito = clasificación:
#                  1 = Activo, 2 = Pasivo, 4 = Ingreso, 6 = Gasto
#   nombre       — Nombre visible de la cuenta
#   esPostable   — true = puede usarse en líneas de asiento, false = solo agrupadora
#   codigoPadre  — Código del grupo al que pertenece (vacío si es raíz)
#   descripcion  — Texto explicativo opcional
#   naturaleza   — Clasificación fina (group, income_category, expense_category, etc.)
#   clasificacion— asset, liability, income, expense
#   legacyId     — ID del CSV legacy original (solo referencia, no se usa en seed)
#
# Reglas:
#   - Las cuentas con esPostable=false son agrupadoras (no reciben asientos directos)
#   - Las cuentas con esPostable=true son las que se usan en los asientos
#   - Una cuenta postable DEBE tener codigoPadre apuntando a un grupo existente
#   - No borres filas sin antes verificar que ningún código padre las referencia
#   - Puedes agregar, renombrar, re-clasificar o eliminar filas libremente
#   - El seed es idempotente: correlo cuantas veces quieras

codigo,nombre,esPostable,codigoPadre,naturaleza,clasificacion,legacyId
62130003,Multas,true,62130000,expense_category,expense,114
63000000,Impuestos y Aranceles,false,,group,expense,115
63000001,Impuestos,true,63000000,expense_category,expense,116
63000002,Trámites Públicos,true,63000000,expense_category,expense,117
63000003,Pensión Alimenticia,true,63000000,expense_category,expense,118
63000004,IESS Aportaciones,true,63000000,expense_category,expense,171
63000005,Impuestos Consumo Exterior,true,63000000,expense_category,expense,180
63400000,Otros Gastos,false,,group,expense,119
63400001,Donativos,true,63400000,expense_category,expense,120
63400002,No sé o no quiero saber,true,63400000,expense_category,expense,121
63400003,Gastos Anteriores,true,63400000,expense_category,expense,144
63400004,Primas de Seguros,true,63400000,expense_category,expense,190
64000000,Diversiones y pasatiempos,false,,group,expense,122
64000002,Loterías y Apuestas,true,64000000,expense_category,expense,124
64000003,Alojamiento en Hoteles,true,64000000,expense_category,expense,125
64000004,Espectáculos, Cine, Teatro,true,64000000,expense_category,expense,126
64000005,Diversiones Alcohólicas,true,64000000,expense_category,expense,127
64000006,Tabaco,true,64000000,expense_category,expense,128
64000007,Paseos,true,64000000,expense_category,expense,129
64000008,Fiestas y Eventos,true,64000000,expense_category,expense,142
64000009,Juegos y Apps de Ocio,true,64000000,expense_category,expense,175
64000010,Membresías Online para Ocio y Diversión,true,64000000,expense_category,expense,176
64100000,Servicios Hogar,false,,group,expense,130
64100001,Teléfono e Internet,true,64100000,expense_category,expense,131
64100002,Música y Apps,true,64100000,expense_category,expense,132
64100003,Servicios online,true,64100000,expense_category,expense,133
64200000,Servicios Profesionales,false,,group,expense,134
64200001,Asesores,true,64200000,expense_category,expense,135
64200003,Deudas Anteriores,true,64200000,expense_category,expense,137
64200004,No sé o no quiero saber,true,64200000,expense_category,expense,138
64200006,Proveedores,true,64200000,expense_category,expense,140
64200007,Herramientas de Trabajo,true,64200000,expense_category,expense,174
